time,Experiment,ESM,Source,burntFractionAll,grid_area,BA_area_pred
2087-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,412.03503,510051523.1101868,538.5518316686505
2088-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,467.49393,510051523.1101868,605.319548456358
2089-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,379.4678,510051523.1101868,499.2311348828799
2090-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,440.2263,510051523.1101868,573.9850397641144
2091-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,409.04657,510051523.1101868,529.0057590136339
2092-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,401.53897,510051523.1101868,513.3413030356621
2093-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,390.9767,510051523.1101868,507.06227041214777
2094-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,390.66812,510051523.1101868,498.4580583331595
2095-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,421.578,510051523.1101868,532.9313043891183
2096-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,375.796,510051523.1101868,476.6077342092028
2097-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,344.10178,510051523.1101868,442.3844415394203
2098-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,367.8446,510051523.1101868,476.1523475587059
2099-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,427.88623,510051523.1101868,540.924154308199
2100-12-31,ssp126,CESM2,ssp126 (CMIP6) - CESM2,400.57556,510051523.1101868,514.9242963206002
2015-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,358.5624,510051523.1101868,476.28064983049427
2016-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,388.26602,510051523.1101868,515.8131787607175
2017-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,375.5202,510051523.1101868,489.8421223008424
2018-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,374.4255,510051523.1101868,503.37953968753203
2019-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,359.76974,510051523.1101868,473.46840586008847
2020-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,381.7532,510051523.1101868,506.63500888432503
2021-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,355.0214,510051523.1101868,473.68968190840246
2022-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,385.41583,510051523.1101868,512.815550623225
2023-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,407.61014,510051523.1101868,530.2762207860403
2024-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,378.9679,510051523.1101868,502.52959823083967
2025-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,325.36356,510051523.1101868,430.99839752862107
2026-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,421.6638,510051523.1101868,559.4482592170647
2027-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,358.81894,510051523.1101868,476.6652660824528
2028-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,381.14594,510051523.1101868,506.1744702729615
2029-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,395.97705,510051523.1101868,515.013230348166
2030-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,364.05325,510051523.1101868,479.14656423959195
2031-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,414.20966,510051523.1101868,547.8893318978917
2032-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,398.88907,510051523.1101868,531.7319422444559
2033-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,389.5271,510051523.1101868,518.5199598902345
2034-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,353.51767,510051523.1101868,460.895380643203
2035-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,413.0633,510051523.1101868,542.981420554062
2036-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,391.75244,510051523.1101868,520.3096705026763
2037-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,394.6837,510051523.1101868,520.9717775878399
2038-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,450.47256,510051523.1101868,589.0250173015128
2039-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,441.90662,510051523.1101868,585.3099676444255
2040-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,394.29263,510051523.1101868,507.43701770932313
