time,Fire Model,Experiment,ESM,Source,BA_area_pred
1982-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,550.7469169880545
1983-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,535.7069858111404
1984-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,522.0768787963301
1985-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,526.6236664904319
1986-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,541.4658807858102
1987-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,548.2688713100514
1988-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,558.1922269938707
1989-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,572.283821472021
1990-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,584.2418646089559
1991-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,551.4222605084623
1992-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,575.2564888628368
1993-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,512.91203934966
1994-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,567.126118019832
1995-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,540.4890138312966
1996-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,541.9805675767277
1997-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,512.6210663416007
1998-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,523.3999535894562
1999-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,501.0417070723085
2000-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,554.289870373373
2001-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,584.3120685426762
2002-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,569.5983323789018
2003-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,528.9875723173136
2004-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,591.1842335439477
2005-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,534.1056845999932
2006-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,536.0726743489246
2007-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,593.2433413954361
